date,trade,conf,n,risk_usd,spot_in,spot_out,iv_in,iv_out,fc_mean,fc_p95,fc_skew,fc_kurt,rv_cons,vrp_pct,regime,prob_turb,pnl,capital,reason
2023-06-22,NO_TRADE,0.1,0,0.0,420.29,422.77,0.1003,0.0915,0.10911,0.17962,1.003,2.3354,0.10698,-0.08782,0,0.0588,0.0,1021572.58,k=2.3
2023-06-23,NO_TRADE,0.1,0,0.0,419.3,419.57,0.0915,0.0961,0.10911,0.17962,1.003,2.3354,0.10638,-0.19244,0,0.0588,0.0,1021572.58,k=2.3
2023-06-26,NO_TRADE,0.1,0,0.0,419.0,417.86,0.0961,0.1068,0.10911,0.17962,1.003,2.3354,0.11031,-0.13536,0,0.0588,0.0,1021572.58,k=2.3
2023-06-27,NO_TRADE,0.1,0,0.0,418.74,422.44,0.1068,0.1005,0.10911,0.17962,1.003,2.3354,0.10823,-0.02161,0,0.0588,0.0,1021572.58,k=2.3
2023-06-28,NO_TRADE,0.1,0,0.0,421.35,422.65,0.1005,0.0974,0.11186,0.1869,0.9499,1.6084,0.10756,-0.11307,0,0.1373,0.0,1021572.58,k=1.6
2023-06-29,NO_TRADE,0.1,0,0.0,422.24,424.32,0.0974,0.0975,0.11186,0.1869,0.9499,1.6084,0.1028,-0.1485,0,0.1373,0.0,1021572.58,k=1.6
2023-06-30,NO_TRADE,0.1,0,0.0,427.54,429.32,0.0975,0.0953,0.11186,0.1869,0.9499,1.6084,0.10125,-0.14732,0,0.1373,0.0,1021572.58,k=1.6
2023-07-03,NO_TRADE,0.1,0,0.0,428.98,429.82,0.0953,0.1,0.11186,0.1869,0.9499,1.6084,0.10217,-0.1738,0,0.1373,0.0,1021572.58,k=1.6
2023-07-05,NO_TRADE,0.1,0,0.0,428.0,429.18,0.1,0.1057,0.11186,0.1869,0.9499,1.6084,0.09967,-0.11863,0,0.1373,0.0,1021572.58,k=1.6
2023-07-06,NO_TRADE,0.3,0,0.0,425.59,425.82,0.1057,0.1196,0.10409,0.17187,1.276,4.9899,0.09752,0.01526,0,0.0282,0.0,1021572.58,IV>5RV
2023-07-07,SELL_STRADDLE,0.6,18,6503.95,424.82,424.74,0.1196,0.106,0.10409,0.17187,1.276,4.9899,0.09073,0.12971,0,0.0282,1421.58,1022994.16,VRP=+13.0% | IV>5RV
2023-07-10,NO_TRADE,0.3,0,0.0,424.39,425.82,0.106,0.115,0.10409,0.17187,1.276,4.9899,0.08997,0.01805,0,0.0282,0.0,1022994.16,IV>5RV
