param,total_pnl,final_cap,return_pct,cagr,max_dd,max_dd_pct,sharpe,sortino,n_trades,n_days,win_rate,avg_win,avg_loss,profit_factor,years
max_risk=.06,369252.87,1369252.87,36.92528700000002,11.105241450153368,-82327.64000000007,-8.232764000000008,1.8152519722684957,1.0212221383267002,391,748,69.0537084398977,2854.302740740741,-4510.21202247191,1.9198921538530027,2.9842573579739904
refit=3,255371.52000000002,1255371.52,25.537151999999995,7.918965288104318,-131560.35000000006,-13.156035000000008,1.210763947284848,0.5920365545390489,389,748,70.95115681233933,2552.5243115942026,-4990.279888888889,1.5685976331009177,2.9842573579739904
refit=10,239609.97000000003,1239609.97,23.960997000000006,7.463023043124273,-163920.11000000004,-16.392011000000004,1.0837415233768535,0.5256532383605053,386,748,67.61658031088082,2746.087816091954,-5360.887078651686,1.502201746545594,2.9842573579739904
mc_sims=1500,324928.43,1324928.43,32.49284299999999,9.886836487920725,-72741.69,-7.274169,1.845623980606106,1.0394404653859193,394,748,69.03553299492386,2552.3855514705883,-4149.667865168539,1.8798008309531964,2.9842573579739904
mc_sims=5000,330388.4,1330388.4,33.03883999999999,10.038371570457372,-71261.03000000003,-7.126103000000003,1.8221731363366425,1.0194368771555833,392,748,69.13265306122449,2633.119077490775,-4305.470449438202,1.8622122151523617,2.9842573579739904
iv_haircut=.01,730497.24,1730497.24,73.049724,20.173609501021474,-88789.06,-8.878906,2.923654839686364,1.6626561378104412,500,748,74.2,3405.4052291105118,-5669.235106382981,2.3707752612504844,2.9842573579739904
iv_haircut=.03,165577.04,1165577.04,16.557704000000008,5.268233299154068,-72837.55,-7.283755,1.0913554172215525,0.5530090779913132,284,748,59.154929577464785,2699.857738095238,-3645.5577215189874,1.574922154259809,2.9842573579739904
spread=.08,63423.42,1063423.42,6.34234199999999,2.081967992739475,-75471.25000000001,-7.547125000000002,0.4136736924140137,0.24035085426755834,391,748,61.125319693094625,1958.7214644351466,-3429.754322033899,1.1567128603691803,2.9842573579739904
spread=.12,-52480.52000000004,947519.48,-5.248052000000003,-1.7901875918459487,-125774.54000000004,-12.577454000000005,-0.36847361103884707,-0.21821821866595237,391,748,56.01023017902813,1682.4821917808217,-3118.1045925925923,0.8753266348036886,2.9842573579739904
stop=1.5x,345690.76,1345690.76,34.56907600000001,10.460879151250158,-71145.28000000009,-7.114528000000009,1.907447517743051,1.0690269081847403,391,748,69.0537084398977,2681.487037037037,-4250.682471910111,1.9137746393348498,2.9842573579739904
stop=2.0x,341501.33999999997,1341501.34,34.150134,10.345525620195218,-71044.97000000009,-7.104497000000008,1.8811036416958389,1.0540535696296276,391,748,69.0537084398977,2678.6797037037036,-4289.23797752809,1.894586340969709,2.9842573579739904
stop=3.0x,337518.81999999995,1337518.82,33.75188200000001,10.235646686834897,-71044.97000000009,-7.104497000000008,1.8537368297729375,1.0381582177764554,391,748,69.0537084398977,2678.0165555555554,-4331.973595505618,1.875431534501816,2.9842573579739904
stop=inf(none),337518.81999999995,1337518.82,33.75188200000001,10.235646686834897,-71044.97000000009,-7.104497000000008,1.8537368297729375,1.0381582177764554,391,748,69.0537084398977,2678.0165555555554,-4331.973595505618,1.875431534501816,2.9842573579739904
